,Day,sigma_p,sigma_n
421,2019-09-19,-1.0,-1.0
422,2019-09-20,-1.0,-1.0
423,2019-09-21,-1.0,-1.0
424,2019-09-22,-1.0,-1.0
425,2019-09-23,-1.0,-1.0
426,2019-09-24,-1.0,-1.0
427,2019-09-25,-1.0,-1.0
428,2019-09-26,-1.0,-1.0
429,2019-09-27,-1.0,-1.0
430,2019-09-28,-1.0,-1.0
431,2019-09-29,-1.0,-1.0
432,2019-09-30,-1.0,-1.0
433,2019-10-01,-1.0,-1.0
434,2019-10-02,-1.0,-1.0
435,2019-10-03,-1.0,-1.0
436,2019-10-04,-1.0,-1.0
437,2019-10-05,-1.0,-1.0
438,2019-10-06,-1.0,-1.0
439,2019-10-07,-1.0,-1.0
440,2019-10-08,-1.0,-1.0
441,2019-10-09,-1.0,-1.0
442,2019-10-10,-1.0,-1.0
443,2019-10-11,-1.0,-1.0
444,2019-10-12,-1.0,-1.0
445,2019-10-13,-1.0,-1.0
446,2019-10-14,-1.0,-1.0
447,2019-10-15,-1.0,-1.0
448,2019-10-16,-1.0,-1.0
449,2019-10-17,-1.0,-1.0
450,2019-10-18,-1.0,-1.0
451,2019-10-19,-1.0,-1.0
452,2019-10-20,-1.0,-1.0
453,2019-10-21,-1.0,-1.0
454,2019-10-22,-1.0,-1.0
455,2019-10-23,-1.0,-1.0
456,2019-10-24,-1.0,-1.0
457,2019-10-25,-1.0,-1.0
458,2019-10-26,-1.0,-1.0
459,2019-10-27,-1.0,-1.0
460,2019-10-28,-1.0,-1.0
461,2019-10-29,-1.0,-1.0
462,2019-10-30,-1.0,-1.0
463,2019-10-31,-1.0,-1.0
464,2019-11-01,-1.0,-1.0
465,2019-11-02,-1.0,-1.0
466,2019-11-03,-1.0,-1.0
467,2019-11-04,-1.0,-1.0
468,2019-11-05,-1.0,-1.0
469,2019-11-06,-1.0,-1.0
470,2019-11-07,-1.0,-1.0
471,2019-11-08,-1.0,-1.0
472,2019-11-09,-1.0,-1.0
473,2019-11-10,-1.0,-1.0
474,2019-11-11,-1.0,-1.0
475,2019-11-12,-1.0,-1.0
476,2019-11-13,-1.0,-1.0
477,2019-11-14,-1.0,-1.0
478,2019-11-15,-1.0,-1.0
479,2019-11-16,-1.0,-1.0
480,2019-11-17,-1.0,-1.0
481,2019-11-18,-1.0,-1.0
482,2019-11-19,-1.0,-1.0
483,2019-11-20,-1.0,-1.0
484,2019-11-21,-1.0,-1.0
485,2019-11-22,-1.0,-1.0
486,2019-11-23,-1.0,-1.0
487,2019-11-24,-1.0,-1.0
488,2019-11-25,-1.0,-1.0
489,2019-11-26,-1.0,-1.0
490,2019-11-27,-1.0,-1.0
491,2019-11-28,-1.0,-1.0
492,2019-11-29,-1.0,-1.0
493,2019-11-30,-1.0,-1.0
494,2019-12-01,-1.0,-1.0
495,2019-12-02,-1.0,-1.0
496,2019-12-03,-1.0,-1.0
497,2019-12-04,-1.0,-1.0
498,2019-12-05,-1.0,-1.0
499,2019-12-06,-1.0,-1.0
500,2019-12-07,-1.0,-1.0
501,2019-12-08,-1.0,-1.0
502,2019-12-09,-1.0,-1.0
503,2019-12-10,-1.0,-1.0
504,2019-12-11,-1.0,-1.0
505,2019-12-12,-1.0,-1.0
506,2019-12-13,-1.0,-1.0
507,2019-12-14,-1.0,-1.0
508,2019-12-15,-1.0,-1.0
509,2019-12-16,-1.0,-1.0
510,2019-12-17,-1.0,-1.0
511,2019-12-18,-1.0,-1.0
512,2019-12-19,-1.0,-1.0
513,2019-12-20,-1.0,-1.0
514,2019-12-21,-1.0,-1.0
515,2019-12-22,-1.0,-1.0
516,2019-12-23,-1.0,-1.0
517,2019-12-24,-1.0,-1.0
518,2019-12-25,-1.0,-1.0
519,2019-12-26,-1.0,-1.0
520,2019-12-27,-1.0,-1.0
521,2019-12-28,-1.0,-1.0
522,2019-12-29,-1.0,-1.0
523,2019-12-30,-1.0,-1.0
524,2019-12-31,-1.0,-1.0
525,2020-01-01,-1.0,-1.0
526,2020-01-02,-1.0,-1.0
527,2020-01-03,-1.0,-1.0
528,2020-01-04,-1.0,-1.0
529,2020-01-05,-1.0,-1.0
530,2020-01-06,-1.0,-1.0
531,2020-01-07,-1.0,-1.0
532,2020-01-08,-1.0,-1.0
533,2020-01-09,-1.0,-1.0
534,2020-01-10,-1.0,-1.0
535,2020-01-11,-1.0,-1.0
536,2020-01-12,-1.0,-1.0
537,2020-01-13,-1.0,-1.0
538,2020-01-14,-1.0,-1.0
539,2020-01-15,-1.0,-1.0
540,2020-01-16,-1.0,-1.0
541,2020-01-17,-1.0,-1.0
542,2020-01-18,-1.0,-1.0
543,2020-01-19,-1.0,-1.0
544,2020-01-20,-1.0,-1.0
545,2020-01-21,-1.0,-1.0
546,2020-01-22,-1.0,-1.0
547,2020-01-23,-1.0,-1.0
548,2020-01-24,-1.0,-1.0
549,2020-01-25,-1.0,-1.0
550,2020-01-26,-1.0,-1.0
551,2020-01-27,-1.0,-1.0
552,2020-01-28,-1.0,-1.0
553,2020-01-29,-1.0,-1.0
554,2020-01-30,-1.0,-1.0
555,2020-01-31,-1.0,-1.0
556,2020-02-01,-1.0,-1.0
557,2020-02-02,-1.0,-1.0
558,2020-02-03,-1.0,-1.0
559,2020-02-04,-1.0,-1.0
560,2020-02-05,-1.0,-1.0
561,2020-02-06,-1.0,-1.0
562,2020-02-07,-1.0,-1.0
563,2020-02-08,-1.0,-1.0
564,2020-02-09,-1.0,-1.0
565,2020-02-10,-1.0,-1.0
566,2020-02-11,-1.0,-1.0
567,2020-02-12,-1.0,-1.0
568,2020-02-13,-1.0,-1.0
569,2020-02-14,-1.0,-1.0
570,2020-02-15,-1.0,-1.0
571,2020-02-16,-1.0,-1.0
572,2020-02-17,-1.0,-1.0
573,2020-02-18,-1.0,-1.0
574,2020-02-19,-1.0,-1.0
575,2020-02-20,-1.0,-1.0
576,2020-02-21,-1.0,-1.0
577,2020-02-22,-1.0,-1.0
578,2020-02-23,-1.0,-1.0
579,2020-02-24,-1.0,-1.0
580,2020-02-25,-1.0,-1.0
581,2020-02-26,-1.0,-1.0
582,2020-02-27,-1.0,-1.0
583,2020-02-28,-1.0,-1.0
584,2020-02-29,-1.0,-1.0
585,2020-03-01,-1.0,-1.0
586,2020-03-02,-1.0,-1.0
587,2020-03-03,-1.0,-1.0
588,2020-03-04,-1.0,-1.0
589,2020-03-05,-1.0,-1.0
590,2020-03-06,-1.0,-1.0
591,2020-03-07,-1.0,-1.0
592,2020-03-08,-1.0,-1.0
593,2020-03-09,-1.0,-1.0
594,2020-03-10,-1.0,-1.0
595,2020-03-11,-1.0,-1.0
596,2020-03-12,-1.0,-1.0
597,2020-03-13,-1.0,-1.0
598,2020-03-14,-1.0,-1.0
599,2020-03-15,-1.0,-1.0
600,2020-03-16,-1.0,-1.0
601,2020-03-17,-1.0,-1.0
602,2020-03-18,-1.0,-1.0
603,2020-03-19,-1.0,-1.0
604,2020-03-20,-1.0,-1.0
605,2020-03-21,-1.0,-1.0
606,2020-03-22,-1.0,-1.0
607,2020-03-23,-1.0,-1.0
608,2020-03-24,-1.0,-1.0
609,2020-03-25,-1.0,-1.0
610,2020-03-26,-1.0,-1.0
611,2020-03-27,-1.0,-1.0
612,2020-03-28,-1.0,-1.0
613,2020-03-29,-1.0,-1.0
614,2020-03-30,-1.0,-1.0
615,2020-03-31,-1.0,-1.0
616,2020-04-01,-1.0,-1.0
617,2020-04-02,-1.0,-1.0
618,2020-04-03,-1.0,-1.0
619,2020-04-04,-1.0,-1.0
620,2020-04-05,-1.0,-1.0
621,2020-04-06,-1.0,-1.0
622,2020-04-07,-1.0,-1.0
623,2020-04-08,-1.0,-1.0
624,2020-04-09,-1.0,-1.0
625,2020-04-10,-1.0,-1.0
626,2020-04-11,-1.0,-1.0
627,2020-04-12,-1.0,-1.0
628,2020-04-13,-1.0,-1.0
629,2020-04-14,-1.0,-1.0
630,2020-04-15,-1.0,-1.0
631,2020-04-16,-1.0,-1.0
632,2020-04-17,-1.0,-1.0
633,2020-04-18,-1.0,-1.0
634,2020-04-19,-1.0,-1.0
635,2020-04-20,-1.0,-1.0
636,2020-04-21,-1.0,-1.0
637,2020-04-22,-1.0,-1.0
638,2020-04-23,-1.0,-1.0
639,2020-04-24,-1.0,-1.0
