Day,b_p,b_n
"Day 7, Hour 2",-0.7999557642276712,0.3999778821138356
"Day 7, Hour 3",-0.7978332141210897,0.3989166070605448
"Day 7, Hour 4",-0.790063377666755,0.3950316888333775
"Day 7, Hour 5",-0.7766902286377508,0.3883451143188754
"Day 7, Hour 6",-0.757789453031366,0.378894726515683
"Day 7, Hour 7",-0.7334680207204528,0.3667340103602264
"Day 7, Hour 8",-0.7038635800521542,0.3519317900260771
"Day 7, Hour 9",-0.6691436788202826,0.3345718394101413
"Day 7, Hour 10",-0.6295048160203097,0.31475240801015486
"Day 7, Hour 11",-0.5851713297535946,0.2925856648767973
"Day 7, Hour 12",-0.536394127574827,0.2681970637874135
"Day 7, Hour 13",-0.4834492664683288,0.2417246332341644
"Day 7, Hour 14",-0.4266363904899175,0.21331819524495876
"Day 7, Hour 15",-0.366277034916581,0.1831385174582905
"Day 7, Hour 16",-0.3027128065016988,0.1513564032508494
"Day 7, Hour 17",-0.2363034501347471,0.11815172506737355
"Day 7, Hour 18",-0.1674248128473427,0.08371240642367135
"Day 7, Hour 19",-0.0964667166884011,0.04823335834420055
"Day 7, Hour 20",-0.023830752507005892,0.011915376253502946
"Day 7, Hour 21",6.938893903907228e-18,-3.469446951953614e-18
"Day 7, Hour 22",6.938893903907228e-18,-3.469446951953614e-18
"Day 7, Hour 23",6.938893903907228e-18,-3.469446951953614e-18
