Day,alpha_p,alpha_n
"Day 5, Hour 23",0.20476835836460794,1.595231641635392
"Day 6, Hour 0",0.19148131460582452,1.6085186853941755
"Day 6, Hour 1",0.18322288622157468,1.6167771137784253
"Day 6, Hour 2",0.18003981219509568,1.6199601878049044
"Day 6, Hour 3",0.18195010729101913,1.618049892708981
"Day 6, Hour 4",0.1889429600999203,1.6110570399000799
"Day 6, Hour 5",0.20097879422602405,1.599021205773976
"Day 6, Hour 6",0.21798949227177034,1.5820105077282296
"Day 6, Hour 7",0.23987878135159224,1.560121218648408
"Day 6, Hour 8",0.266522777953061,1.533477222046939
"Day 6, Hour 9",0.2977706890617454,1.5022293109382545
"Day 6, Hour 10",0.33344566558172095,1.4665543344182792
"Day 6, Hour 11",0.37334580322176447,1.4266541967782356
"Day 6, Hour 12",0.4172452851826554,1.3827547148173447
"Day 6, Hour 13",0.46489566017850376,1.3351043398214963
"Day 6, Hour 14",0.5160272485590739,1.2839727514409263
"Day 6, Hour 15",0.5703506685750768,1.2296493314249233
"Day 6, Hour 16",0.6275584741484708,1.1724415258515293
"Day 6, Hour 17",0.6873268948787272,1.1126731051212728
"Day 6, Hour 18",0.7493176684373912,1.0506823315626088
"Day 6, Hour 19",0.8131799549804386,0.9868200450195614
"Day 6, Hour 20",0.8785523227436943,0.9214476772563057
"Day 6, Hour 21",0.8999999999999996,0.9000000000000005
"Day 6, Hour 22",0.8999999999999996,0.9000000000000005
"Day 6, Hour 23",0.8999999999999996,0.9000000000000005
